City Name,Country,Region,CBD Location,,Land Cover Dates,,,Urban Extent Population,,,,Built-up Area Total  (ha),,,,Urban Built-up Area (ha),,,,Surburban Built-up Area (ha),,,,Rural Built-up Area  (ha),,,,Urbanized Open Space  (ha),,,,Urban Extent (ha),,,,Built-up Area Density (persons/ha),,,,Urban Extent Density (persons / ha),,,,Frgmentation: Saturation  (Built-up Area/Urban Extent),,,, Fragmentation: Openness index,,,,Compactness: Proximity index,,,,Compactness: Cohesion index,,,,Total Added Area (ha),,,Added Area: Infill (ha),,,,Added Area: Extension (ha),,,,Added Area: Leapfrog (ha),,,,Added Area: Inclusion (ha),,,,,
,,,Latitude,Longitude,T1,T2,T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1,T2,T3,Annual Change T2-T3,T1-T2,T2-T3,(T2-T3)/   (T1-T2),T1-T2,Percent T1-T2 Added Area,T2-T3,Percent T2-T3 Added Area,T1-T2,Percent T1-T2 Added Area,T2-T3,Percent T2-T3 Added Area,T1-T2,Percent T1-T2 Added Area,T2-T3,Percent T2-T3 Added Area,T1-T2,Percent T1-T2 Added Area,T2-T3,Percent T2-T3 Added Area,,
Moscow,Russia,Europe and Japan,55.743,37.645,5/1/91,5/1/01,9/1/14,"10,377,113","12,726,303","15,220,986",1.3%,"108,909","160,019","223,436",2.5%,"79,370","120,685","160,937",2.2%,"27,560","36,430","57,829",3.5%,"1,979","2,904","4,669",3.6%,"67,361","87,548","134,160",3.2%,"176,270","247,567","357,596",2.8%,95,80,68,-1.2%,59,51,43,-1.4%,0.62,0.65,0.62,-0.3%,0.36,0.33,0.34,0.3%,0.74,0.72,0.73,0.1%,0.72,0.69,0.71,0.2%,"51,110","63,416", 1.2 ,"18,611",36%,"13,724",22%,"10,796",21%,"16,964",27%,"1,690",3.3%,"2,940",4.6%,"20,014",39%,"29,788",47%,,
Mumbai,India,South and Central Asia,19.115,72.913,12/1/91,12/1/01,10/1/14,"11,786,684","14,344,154","19,601,845",2.4%,"27,806","33,417","53,135",3.6%,"24,417","29,883","45,590",3.3%,"3,193","3,318","6,957",5.8%,196,216,588,7.8%,"8,875","9,583","17,398",4.6%,"36,681","43,000","70,533",3.9%,424,429,369,-1.2%,321,334,278,-1.4%,0.76,0.78,0.75,-0.2%,0.22,0.19,0.21,0.7%,0.69,0.71,0.66,-0.5%,0.68,0.70,0.66,-0.4%,"5,612","19,762", 3.5 ,"2,723",49%,"3,869",20%,"2,183",39%,"3,525",18%,73,1.3%,"3,073",15.6%,634,11%,"9,295",47%,,
Myeik,Myanmar,Southeast Asia,12.448,98.618,2/1/91,12/1/03,1/1/14,"109,650","116,528","216,734",6.2%,321,430,"1,079",9.1%,218,297,553,6.2%,96,126,495,13.6%,7,8,31,13.1%,164,217,861,13.7%,485,647,"1,940",10.9%,342,271,201,-3.0%,226,180,112,-4.7%,0.66,0.67,0.56,-1.8%,0.42,0.38,0.44,1.6%,0.87,0.85,0.82,-0.4%,0.86,0.85,0.81,-0.5%,109,649, 5.9 ,35,32%,96,15%,52,48%,271,42%,0,0.0%,0,0.0%,22,20%,281,43%,,
Nakuru,Kenya,Sub-Saharan Africa,-0.294,36.058,3/1/89,2/1/00,2/1/14,"122,762","189,557","326,160",3.9%,"1,031","1,494","4,729",8.2%,703,"1,132","2,762",6.4%,296,329,"1,833",12.3%,32,32,133,10.1%,798,934,"4,395",11.1%,"1,829","2,427","9,124",9.5%,119,127,69,-4.4%,67,78,36,-5.6%,0.56,0.62,0.52,-1.2%,0.42,0.34,0.43,1.7%,0.95,0.94,0.67,-2.4%,0.94,0.94,0.68,-2.3%,463,"3,150", 6.8 ,239,52%,356,11%,149,32%,"1,850",59%,0,0.0%,0,0.0%,75,16%,945,30%,,
Ndola,Zambia,Sub-Saharan Africa,-12.981,28.634,6/1/89,5/1/02,6/1/14,"275,484","338,145","443,327",2.2%,"2,355","3,481","4,738",2.6%,"1,138","2,175","3,702",4.4%,"1,148","1,241",988,-1.9%,68,65,48,-2.5%,"2,283","3,067","3,048",-0.1%,"4,638","6,547","7,786",1.4%,117,97,94,-0.3%,59,52,57,0.8%,0.51,0.53,0.61,1.1%,0.50,0.45,0.36,-1.9%,0.71,0.79,0.81,0.2%,0.71,0.80,0.80,0.0%,"1,125","1,257", 1.1 ,317,28%,824,66%,555,49%,253,20%,49,4.4%,2,0.2%,204,18%,177,14%,,
New York,United States,Land-Rich Developed Countries,40.842,-73.798,5/1/91,10/1/00,5/1/11,"16,235,289","17,955,548","18,412,093",0.2%,"509,235","720,862","747,852",0.3%,"445,870","638,565","666,185",0.4%,"59,541","76,815","76,475",0.0%,"3,824","5,483","5,193",-0.5%,"179,640","201,855","203,251",0.1%,"688,875","922,717","951,103",0.3%,32,25,25,-0.1%,24,19,19,0.0%,0.74,0.78,0.79,0.1%,0.23,0.18,0.18,-0.2%,0.69,0.70,0.70,0.1%,0.67,0.69,0.69,0.0%,"211,658","27,020", 0.1 ,"90,528",43%,"13,799",51%,"82,437",39%,"6,195",23%,152,0.1%,"2,573",9.5%,"38,540",18%,"4,454",16%,,
Nikolaev,Ukraine,Europe and Japan,46.974,32.029,5/1/89,9/1/00,8/1/13,"351,234","347,486","334,691",-0.3%,"5,166","6,512","6,566",0.1%,"4,324","5,319","5,375",0.1%,804,"1,117","1,115",0.0%,38,77,76,-0.2%,"2,025","2,564","2,583",0.1%,"7,191","9,077","9,149",0.1%,68,53,51,-0.4%,49,38,37,-0.4%,0.72,0.72,0.72,0.0%,0.29,0.28,0.28,-0.1%,0.78,0.74,0.74,0.0%,0.77,0.72,0.72,0.0%,"1,371",55, 0.0 ,504,37%,38,69%,292,21%,8,15%,9,0.7%,1,1.5%,566,41%,8,15%,,
Okayama,Japan,Europe and Japan,34.657,133.949,5/1/90,5/1/00,5/1/14,"1,156,304","1,196,567","1,277,186",0.5%,"36,681","40,169","45,925",1.0%,"24,940","28,959","33,465",1.0%,"11,052","10,550","11,756",0.8%,689,660,705,0.5%,"24,311","24,133","26,516",0.7%,"60,992","64,302","72,442",0.9%,32,30,28,-0.5%,19,19,18,-0.4%,0.60,0.62,0.63,0.1%,0.37,0.35,0.34,-0.1%,0.77,0.77,0.77,0.0%,0.76,0.75,0.75,0.0%,"3,509","5,755", 1.6 ,"2,073",59%,"2,703",47%,488,14%,775,13%,31,0.9%,30,0.5%,917,26%,"2,247",39%,,
Oldenburg,Germany,Europe and Japan,53.148,8.207,8/1/90,8/1/99,10/1/13,"129,512","145,877","158,329",0.6%,"2,026","2,732","3,781",2.3%,557,"1,201","2,546",5.3%,"1,383","1,424","1,167",-1.4%,86,107,68,-3.2%,"2,652","3,064","3,120",0.1%,"4,678","5,796","6,900",1.2%,64,53,42,-1.7%,28,25,23,-0.7%,0.43,0.47,0.55,1.1%,0.57,0.52,0.43,-1.3%,0.87,0.88,0.90,0.2%,0.86,0.87,0.89,0.1%,705,"1,049", 1.5 ,339,48%,677,65%,0,0%,204,19%,155,22.0%,0,0.0%,211,30%,168,16%,,
Osaka,Japan,Europe and Japan,34.718,135.389,5/1/89,10/1/01,3/1/14,"8,505,622","8,674,622","8,709,527",0.0%,"72,025","87,895","95,077",0.6%,"62,911","81,539","89,230",0.7%,"8,675","5,978","5,547",-0.6%,439,378,300,-1.9%,"23,403","19,868","18,681",-0.5%,"95,428","107,763","113,758",0.4%,118,99,92,-0.6%,89,80,77,-0.4%,0.75,0.82,0.84,0.2%,0.20,0.16,0.14,-1.1%,0.78,0.77,0.77,0.0%,0.77,0.76,0.76,0.1%,"15,869","7,182", 0.5 ,"10,047",63%,"4,719",66%,"4,006",25%,"1,615",22%,205,1.3%,121,1.7%,"1,611",10%,728,10%,,
Oyo,Nigeria,Sub-Saharan Africa,6.818,3.916,12/1/90,2/1/00,2/1/14,"145,717","250,282","452,477",4.2%,"1,231","2,123","3,704",4.0%,835,"1,704","2,776",3.5%,368,402,865,5.5%,27,18,62,8.9%,755,966,"2,229",6.0%,"1,986","3,089","5,933",4.7%,118,118,122,0.3%,73,81,76,-0.4%,0.62,0.69,0.62,-0.7%,0.38,0.27,0.31,1.0%,0.66,0.79,0.87,0.7%,0.66,0.79,0.87,0.7%,892,"1,580", 1.8 ,326,37%,177,11%,494,55%,"1,362",86%,0,0.0%,0,0.0%,71,8%,41,3%,,
Palembang,Indonesia,Southeast Asia,-2.958,104.736,4/1/90,7/1/01,6/1/13,"1,195,955","1,454,196","1,721,220",1.4%,"4,735","15,089","20,960",2.8%,"2,813","10,980","16,507",3.4%,"1,815","3,866","4,168",0.6%,106,243,284,1.3%,"3,875","9,581","10,788",1.0%,"8,609","24,670","31,748",2.1%,253,96,82,-1.3%,139,59,54,-0.7%,0.55,0.61,0.66,0.6%,0.43,0.35,0.29,-1.4%,0.85,0.83,0.86,0.3%,0.83,0.83,0.84,0.2%,"10,354","5,870", 0.6 ,"2,189",21%,"3,103",53%,"6,595",64%,"1,290",22%,0,0.0%,4,0.1%,"1,570",15%,"1,473",25%,,
Palermo,Italy,Europe and Japan,38.135,13.330,7/1/87,5/1/00,7/1/13,"696,750","702,462","822,940",1.2%,"5,762","6,918","13,249",4.9%,"4,217","5,020","9,888",5.1%,"1,460","1,785","3,127",4.3%,84,113,234,5.5%,"3,499","4,184","7,639",4.6%,"9,261","11,102","20,888",4.8%,121,102,62,-3.7%,75,63,39,-3.6%,0.62,0.62,0.63,0.1%,0.34,0.33,0.32,-0.2%,0.75,0.70,0.58,-1.4%,0.73,0.67,0.57,-1.3%,"1,156","6,318", 5.5 ,489,42%,"1,913",30%,302,26%,"1,242",20%,0,0.0%,25,0.4%,366,32%,"3,138",50%,,
Palmas,Brazil,Latin America and the Caribbean,-10.189,-48.330,4/1/90,6/1/00,8/1/13,"6,441","88,195","154,873",4.3%,726,"3,215","4,228",2.1%,309,"2,553","3,510",2.4%,396,619,674,0.6%,21,43,45,0.3%,691,"1,595","1,944",1.5%,"1,417","4,810","6,172",1.9%,9,27,37,2.2%,5,18,25,2.4%,0.51,0.67,0.69,0.2%,0.52,0.30,0.27,-0.7%,0.80,0.77,0.82,0.5%,0.80,0.77,0.82,0.5%,"2,489","1,013", 0.4 ,328,13%,392,39%,"1,873",75%,520,51%,0,0.0%,0,0.0%,288,12%,101,10%,,
Parbhani,India,South and Central Asia,19.280,76.765,3/1/91,10/1/02,12/1/14,"267,978","324,330","382,635",1.4%,"1,135","1,694","1,868",0.8%,737,"1,370","1,550",1.0%,366,299,297,0.0%,33,25,22,-1.1%,832,742,785,0.5%,"1,967","2,436","2,653",0.7%,236,191,205,0.6%,136,133,144,0.7%,0.58,0.70,0.70,0.1%,0.43,0.29,0.27,-0.4%,0.84,0.87,0.88,0.1%,0.83,0.87,0.88,0.1%,558,174, 0.3 ,312,56%,75,43%,205,37%,82,47%,0,0.0%,0,0.0%,42,8%,17,10%,,
Parepare,Indonesia,Southeast Asia,119.633,-4.023,8/1/94,8/1/00,7/1/14,"70,610","77,220","104,563",2.2%,302,426,662,3.2%,170,224,349,3.2%,115,190,291,3.0%,17,12,23,4.7%,186,250,467,4.5%,488,676,"1,130",3.7%,234,181,158,-1.0%,145,114,93,-1.5%,0.62,0.63,0.59,-0.5%,0.47,0.46,0.45,-0.2%,0.64,0.66,0.69,0.3%,0.64,0.66,0.69,0.4%,124,236, 1.9 ,37,30%,65,28%,42,34%,98,41%,0,0.0%,0,0.0%,45,36%,73,31%,,
Paris,France,Europe and Japan,48.863,2.315,5/1/87,8/1/00,5/1/14,"9,265,734","10,009,893","11,114,026",0.8%,"127,790","158,629","198,626",1.6%,"101,932","131,083","166,725",1.7%,"24,058","25,609","29,219",1.0%,"1,801","1,937","2,682",2.4%,"69,420","72,727","79,222",0.6%,"197,210","231,356","277,848",1.3%,73,63,56,-0.9%,47,43,40,-0.6%,0.65,0.69,0.71,0.3%,0.30,0.25,0.23,-0.6%,0.86,0.85,0.85,0.1%,0.84,0.82,0.83,0.1%,"31,045","40,476", 1.3 ,"16,010",52%,"20,201",50%,"4,748",15%,"9,282",23%,649,2.1%,698,1.7%,"9,638",31%,"10,296",25%,,
Pematangtiantar,Indonesia,Southeast Asia,2.962,99.074,7/1/94,7/1/01,2/1/14,"233,506","214,274","219,790",0.2%,"1,090","1,369","1,650",1.5%,799,"1,025","1,296",1.9%,262,319,322,0.1%,29,25,32,1.9%,651,779,920,1.3%,"1,741","2,148","2,571",1.4%,214,156,133,-1.3%,134,100,86,-1.2%,0.63,0.64,0.64,0.1%,0.37,0.34,0.32,-0.5%,0.91,0.91,0.92,0.0%,0.90,0.91,0.91,0.0%,279,280, 1.0 ,125,45%,131,47%,0,0%,99,35%,97,34.8%,0,0.0%,57,20%,50,18%,,
Philadelphia,United States,Land-Rich Developed Countries,40.015,-75.168,6/1/90,5/1/00,4/1/14,"4,760,536","5,329,830","5,852,880",0.7%,"163,084","223,016","298,214",2.1%,"111,804","155,082","222,643",2.6%,"48,219","63,623","70,673",0.8%,"3,061","4,311","4,897",0.9%,"123,316","166,522","193,646",1.1%,"286,400","389,538","491,860",1.7%,29,24,20,-1.4%,17,14,12,-1.0%,0.57,0.57,0.61,0.4%,0.38,0.37,0.34,-0.6%,0.77,0.79,0.81,0.2%,0.74,0.77,0.79,0.2%,"59,931","75,263", 1.3 ,"20,384",34%,"36,704",49%,"18,653",31%,"18,250",24%,710,1.2%,"1,175",1.6%,"20,184",34%,"19,135",25%,,
"Pingxiang, Jiangxi",China,East Asia and the Pacific,27.643,113.851,2/1/89,12/1/99,9/1/13,"192,628","475,926","757,573",3.4%,"2,746","8,944","15,265",3.9%,"1,017","4,295","7,894",4.4%,"1,582","4,202","6,755",3.5%,147,446,616,2.4%,"3,090","8,915","15,550",4.0%,"5,837","17,859","30,815",4.0%,70,53,50,-0.5%,33,27,25,-0.6%,0.47,0.50,0.50,-0.1%,0.53,0.47,0.45,-0.2%,0.53,0.69,0.69,0.0%,0.55,0.70,0.70,0.0%,"6,197","6,321", 1.0 ,954,15%,"1,377",22%,"2,203",36%,"2,085",33%,15,0.2%,4,0.1%,"3,025",49%,"2,855",45%,,
Pokhara,Nepal,South and Central Asia,28.220,83.980,4/1/89,1/1/00,5/1/13,"80,223","138,941","272,830",5.1%,935,"1,160","1,630",2.6%,494,787,"1,213",3.2%,404,351,378,0.5%,37,22,40,4.4%,807,862,"1,036",1.4%,"1,741","2,022","2,667",2.1%,86,120,167,2.5%,46,69,102,3.0%,0.54,0.57,0.61,0.5%,0.49,0.43,0.37,-1.1%,0.90,0.94,0.86,-0.7%,0.88,0.93,0.84,-0.7%,225,469, 2.1 ,128,57%,219,47%,66,29%,146,31%,0,0.0%,0,0.0%,31,14%,104,22%,,
Port Elizabeth,South Africa,Sub-Saharan Africa,13.052,5.230,6/1/90,7/1/01,7/1/13,"608,113","645,910","952,747",3.2%,"10,349","12,137","18,141",3.3%,"7,387","9,534","14,668",3.6%,"2,806","2,482","3,443",2.7%,156,121,30,-11.6%,"6,378","6,436","8,910",2.7%,"16,727","18,573","27,051",3.1%,59,53,53,-0.1%,36,35,35,0.1%,0.62,0.65,0.67,0.2%,0.35,0.32,0.31,-0.2%,0.82,0.83,0.68,-1.6%,0.81,0.82,0.67,-1.7%,"1,788","8,588", 4.8 ,855,48%,"1,071",12%,729,41%,"1,079",13%,6,0.4%,769,9.0%,198,11%,"5,669",66%,,
"Portland, OR",United States,Land-Rich Developed Countries,45.520,-122.666,9/1/90,9/1/00,8/1/14,"1,131,570","1,512,404","1,904,409",1.7%,"48,909","67,673","88,455",1.9%,"34,370","54,167","75,185",2.4%,"13,719","12,786","12,204",-0.3%,820,720,"1,066",2.8%,"35,195","38,166","40,068",0.3%,"84,104","105,838","128,523",1.4%,23,22,22,-0.3%,13,14,15,0.3%,0.58,0.64,0.69,0.5%,0.37,0.31,0.26,-1.2%,0.79,0.83,0.84,0.1%,0.78,0.82,0.83,0.1%,"18,764","20,700", 1.1 ,"9,319",50%,"11,641",56%,"6,015",32%,"2,752",13%,154,0.8%,978,4.7%,"3,275",17%,"5,329",26%,,
Pune,India,South and Central Asia,18.524,73.864,2/1/91,4/1/01,1/1/11,"1,752,854","3,676,767","5,509,160",4.1%,"2,623","13,480","32,338",9.0%,"1,029","9,406","27,021",10.8%,"1,485","3,812","4,945",2.7%,109,262,372,3.6%,"2,804","8,585","13,606",4.7%,"5,427","22,065","45,944",7.5%,668,273,170,-4.8%,323,167,120,-3.4%,0.48,0.61,0.70,1.5%,0.51,0.37,0.26,-3.6%,0.80,0.72,0.85,1.7%,0.78,0.72,0.85,1.6%,"10,856","18,858", 1.7 ,"2,432",22%,"4,357",23%,"5,671",52%,"11,539",61%,0,0.0%,150,0.8%,"2,753",25%,"2,812",15%,,
Pyongyang,Korea Dem. Rep.,East Asia and the Pacific,39.045,125.767,3/1/90,5/1/00,3/1/14,"1,524,988","1,674,292","1,996,172",1.3%,"8,695","11,242","11,463",0.1%,"6,567","8,498","8,642",0.1%,"1,942","2,538","2,601",0.2%,186,205,220,0.5%,"5,029","6,292","6,522",0.3%,"13,724","17,534","17,985",0.2%,175,149,174,1.1%,111,95,111,1.1%,0.63,0.64,0.64,0.0%,0.34,0.33,0.33,0.1%,0.82,0.82,0.83,0.0%,0.80,0.82,0.82,0.0%,"2,547",221, 0.1 ,"1,013",40%,81,37%,850,33%,34,15%,26,1.0%,7,3.2%,658,26%,99,45%,,
"Qingdao, Shandong",China,East Asia and the Pacific,36.220,120.403,5/1/90,1/1/00,8/1/13,"853,484","1,540,789","4,501,931",7.9%,"4,813","11,752","71,528",13.3%,"1,326","6,829","58,008",15.8%,"3,231","4,553","12,591",7.5%,257,370,928,6.8%,"5,941","10,987","30,971",7.6%,"10,754","22,739","102,499",11.1%,177,131,63,-5.4%,79,68,44,-3.2%,0.45,0.52,0.70,2.2%,0.57,0.46,0.26,-4.1%,0.48,0.66,0.80,1.4%,0.49,0.68,0.79,1.1%,"6,939","59,776", 8.6 ,"1,611",23%,"11,196",19%,"3,341",48%,"32,849",55%,7,0.1%,294,0.5%,"1,979",29%,"15,437",26%,,
Qom,Iran,South and Central Asia,34.640,50.876,1/1/90,7/1/01,5/1/10,"597,132","847,703","1,071,783",2.7%,"3,104","5,124","8,404",5.6%,"2,455","3,888","6,777",6.3%,599,"1,142","1,504",3.1%,50,94,123,3.0%,"1,626","2,407","3,216",3.3%,"4,730","7,531","11,620",4.9%,192,165,128,-2.9%,126,113,92,-2.3%,0.66,0.68,0.72,0.7%,0.30,0.27,0.25,-0.8%,0.91,0.80,0.78,-0.2%,0.89,0.77,0.76,-0.1%,"2,019","3,280", 1.6 ,763,38%,802,24%,689,34%,"1,967",60%,26,1.3%,49,1.5%,541,27%,462,14%,,
Quito,Ecuador,Latin America and the Caribbean,-0.135,-78.443,6/1/88,12/1/00,6/1/13,"854,477","1,358,278","2,173,697",3.8%,"5,585","9,792","22,665",6.7%,"4,220","7,412","16,057",6.2%,"1,267","2,182","6,178",8.3%,98,198,430,6.2%,"3,745","5,897","15,643",7.8%,"9,331","15,689","38,308",7.1%,153,139,96,-3.0%,92,87,57,-3.4%,0.60,0.62,0.59,-0.4%,0.34,0.30,0.34,1.0%,0.60,0.61,0.69,1.0%,0.61,0.61,0.69,0.9%,"4,206","12,349", 2.9 ,"1,628",39%,"2,628",21%,"1,582",38%,"6,017",49%,0,0.0%,20,0.2%,996,24%,"3,684",30%,,
Rajshahi,Bangladesh,South and Central Asia,24.367,88.600,5/1/90,11/1/00,1/1/10,"26,943","320,085","517,053",5.2%,36,"1,401","3,234",9.1%,0,619,"1,668",10.8%,31,727,"1,437",7.4%,5,55,129,9.3%,67,"1,358","2,775",7.8%,103,"2,759","6,009",8.5%,745,228,160,-3.9%,261,116,86,-3.3%,0.35,0.51,0.54,0.6%,0.70,0.51,0.47,-1.1%,0.99,0.64,0.62,-0.4%,0.98,0.65,0.61,-0.7%,"1,365","1,832", 1.3 ,32,2%,555,30%,927,68%,452,25%,4,0.3%,10,0.6%,403,30%,815,44%,,
Raleigh,United States,Land-Rich Developed Countries,35.807,-78.675,10/1/90,11/1/00,5/1/13,"262,552","702,158","1,188,416",4.2%,"12,143","40,683","78,270",5.2%,"5,210","19,741","41,155",5.9%,"6,543","19,577","34,480",4.5%,390,"1,366","2,634",5.3%,"14,012","43,161","80,658",5.0%,"26,155","83,845","158,928",5.1%,22,17,15,-1.0%,10,8,7,-0.9%,0.46,0.49,0.49,0.1%,0.51,0.48,0.47,-0.2%,0.81,0.68,0.78,1.1%,0.80,0.69,0.77,0.9%,"28,539","37,586", 1.3 ,"4,324",15%,"7,889",21%,"7,286",26%,"18,126",48%,803,2.8%,99,0.3%,"16,127",57%,"11,472",31%,,
Rawang,Malaysia,Southeast Asia,3.330,101.577,6/1/89,9/1/01,3/1/14,"13,532","43,521","236,967",13.6%,243,968,"4,876",12.9%,0,403,"2,610",14.9%,221,538,"2,130",11.0%,21,26,136,13.1%,338,"1,003","4,344",11.7%,581,"1,971","9,220",12.3%,56,45,49,0.6%,23,22,26,1.2%,0.42,0.49,0.53,0.6%,0.64,0.51,0.48,-0.5%,0.83,0.90,0.65,-2.5%,0.82,0.89,0.65,-2.5%,724,"3,908", 5.4 ,80,11%,549,14%,489,68%,653,17%,0,0.1%,20,0.5%,154,21%,"2,686",69%,,
Reynosa,Mexico,Latin America and the Caribbean,26.063,-98.302,7/1/91,6/1/00,7/1/13,"197,217","286,782","479,078",3.9%,"7,489","8,640","12,028",2.5%,"5,858","7,177","10,006",2.5%,"1,537","1,367","1,907",2.5%,93,96,116,1.4%,"3,317","3,321","4,356",2.1%,"10,806","11,961","16,384",2.4%,26,33,40,1.4%,18,24,29,1.5%,0.69,0.72,0.73,0.1%,0.27,0.24,0.23,-0.4%,0.76,0.78,0.80,0.2%,0.75,0.77,0.79,0.3%,"1,151","3,387", 2.9 ,587,51%,840,25%,481,42%,"2,207",65%,0,0.0%,103,3.0%,83,7%,237,7%,,
Ribeirao Preto,Brazil,Latin America and the Caribbean,-21.172,-47.798,12/1/90,3/1/01,3/1/14,"372,764","468,285","607,350",2.0%,"7,365","8,937","10,917",1.5%,"6,713","7,925","9,385",1.3%,609,944,"1,418",3.1%,43,69,114,3.8%,"2,208","2,994","4,127",2.5%,"9,573","11,931","15,044",1.8%,51,52,56,0.5%,39,39,40,0.2%,0.77,0.75,0.73,-0.2%,0.19,0.21,0.22,0.4%,0.91,0.90,0.91,0.0%,0.91,0.90,0.90,0.0%,"1,571","1,979", 1.3 ,280,18%,625,32%,779,50%,851,43%,0,0.0%,0,0.0%,513,33%,503,25%,,
Riyadh,Saudi Arabia,Western Asia and North Africa,24.686,46.742,8/1/90,8/1/00,8/1/13,"2,210,740","3,311,356","5,552,240",4.0%,"30,305","45,496","95,861",5.7%,"24,251","37,741","84,857",6.2%,"5,631","7,255","10,778",3.0%,424,500,226,-6.1%,"15,582","21,315","31,945",3.1%,"45,887","66,811","127,805",5.0%,73,73,58,-1.8%,48,50,43,-1.0%,0.66,0.68,0.75,0.7%,0.29,0.26,0.19,-2.4%,0.83,0.88,0.91,0.3%,0.82,0.87,0.90,0.3%,"15,190","50,422", 3.3 ,"5,492",36%,"12,767",25%,"6,542",43%,"33,179",66%,2,0.0%,3,0.0%,"3,154",21%,"4,472",9%,,
Rovno,Ukraine,Europe and Japan,50.624,26.248,5/1/90,5/1/00,5/1/14,"207,139","235,250","286,691",1.4%,"1,954","2,838","6,201",5.6%,"1,463","2,271","4,127",4.3%,460,540,"1,917",9.0%,30,27,157,12.7%,"1,160","1,145","3,277",7.5%,"3,114","3,983","9,477",6.2%,106,83,46,-4.2%,67,59,30,-4.8%,0.63,0.71,0.65,-0.6%,0.38,0.28,0.34,1.4%,0.93,0.87,0.65,-2.1%,0.93,0.85,0.64,-2.0%,883,"3,363", 3.8 ,489,55%,513,15%,178,20%,627,19%,14,1.6%,36,1.1%,202,23%,"2,187",65%,,
Saidpur,Bangladesh,South and Central Asia,25.802,88.881,11/1/90,11/1/01,4/1/14,"104,935","102,621","111,029",0.6%,267,323,871,8.0%,144,200,572,8.5%,112,112,278,7.3%,11,10,21,5.7%,225,246,586,7.0%,492,569,"1,457",7.6%,393,318,127,-7.4%,213,180,76,-6.9%,0.54,0.57,0.60,0.4%,0.48,0.44,0.38,-1.3%,0.86,0.86,0.81,-0.4%,0.86,0.86,0.80,-0.5%,55,548, 10.0 ,30,55%,121,22%,13,24%,331,60%,0,0.0%,0,0.0%,11,20%,96,18%,,
Saint Petersburg,Russia,Europe and Japan,59.911,30.348,7/1/90,5/1/00,5/1/14,"3,871,640","3,855,458","5,070,516",2.0%,"36,039","46,787","68,500",2.7%,"31,360","39,026","54,051",2.3%,"4,437","7,262","13,530",4.4%,243,500,920,4.4%,"13,243","18,885","32,235",3.8%,"49,282","65,672","100,735",3.1%,107,82,74,-0.8%,79,59,50,-1.1%,0.73,0.71,0.68,-0.3%,0.27,0.28,0.30,0.4%,0.81,0.73,0.73,-0.1%,0.79,0.71,0.70,-0.1%,"10,748","21,712", 2.0 ,"2,735",25%,"3,326",15%,"2,120",20%,"6,246",29%,461,4.3%,529,2.4%,"5,431",51%,"11,610",53%,,
San Salvador,El Salvador,Latin America and the Caribbean,13.700,-89.201,3/1/91,10/1/99,1/1/14,"1,242,224","1,293,520","1,693,748",1.9%,"8,216","10,501","16,889",3.3%,"6,677","8,876","14,155",3.3%,"1,429","1,510","2,535",3.6%,110,115,199,3.8%,"4,312","4,592","6,970",2.9%,"12,529","15,093","23,859",3.2%,151,123,100,-1.4%,99,86,71,-1.3%,0.66,0.70,0.71,0.1%,0.30,0.25,0.23,-0.8%,0.75,0.76,0.78,0.1%,0.73,0.75,0.75,0.0%,"2,284","6,387", 2.8 ,"1,072",47%,"2,290",36%,901,39%,"1,864",29%,0,0.0%,0,0.0%,311,14%,"2,233",35%,,
Sana,Yemen,Western Asia and North Africa,15.363,44.208,9/1/89,5/1/00,11/1/14,"929,646","1,513,993","2,258,322",2.8%,"9,051","13,468","22,113",3.4%,"7,124","12,120","15,395",1.6%,"1,819","1,257","6,302",11.1%,109,90,416,10.5%,"4,049","2,769","14,277",11.3%,"13,100","16,236","36,390",5.6%,103,112,102,-0.7%,71,93,62,-2.8%,0.69,0.83,0.61,-2.1%,0.30,0.18,0.31,3.8%,0.67,0.71,0.70,-0.1%,0.65,0.70,0.69,-0.1%,"4,416","8,645", 2.0 ,"2,061",47%,180,2%,"1,877",42%,"7,028",81%,117,2.6%,0,0.0%,361,8%,"1,437",17%,,
Santiago,Chile,Latin America and the Caribbean,-33.491,-70.670,1/1/90,1/1/00,4/1/14,"4,499,499","5,396,623","6,486,535",1.3%,"37,861","47,274","60,381",1.7%,"35,303","43,639","53,985",1.5%,"2,412","3,408","5,890",3.8%,146,227,506,5.6%,"7,852","9,856","15,727",3.3%,"45,713","57,130","76,108",2.0%,119,114,107,-0.4%,98,94,85,-0.7%,0.83,0.83,0.79,-0.3%,0.14,0.14,0.15,0.9%,0.92,0.91,0.85,-0.4%,0.90,0.90,0.83,-0.5%,"9,412","13,107", 1.4 ,"2,311",25%,"2,984",23%,"5,829",62%,"7,313",56%,80,0.8%,169,1.3%,"1,192",13%,"2,641",20%,,
